k,inertia,silhouette,min_cluster_size,max_cluster_size,min_share,sil_mean_seeds,sil_std_seeds,ari_mean_vs_seed42,score,status
2,6488.006594880265,0.4340493897603457,1652,2686,0.3808,0.434,0.0001,0.9979,1.0,quantitative leader (below granularity minimum)
3,4879.134292546418,0.3380975154783401,745,1916,0.1717,0.338,0.0002,0.9955,0.541086,selected
4,3962.7034133141797,0.33683345783890356,699,1635,0.1611,0.3368,0.0001,0.9867,0.503243,eligible
5,3331.8575469550274,0.31551746489607935,292,1224,0.0673,0.3167,0.0009,0.9408,0.228734,eligible
6,2875.4012058253775,0.3142516950698116,264,1005,0.0609,0.314,0.0004,0.9811,0.33018,eligible
7,2573.176541178649,0.30904184425828474,217,896,0.05,0.3091,0.0001,0.9932,0.339382,eligible
8,2359.568932465417,0.3021286133069533,210,867,0.0484,0.2987,0.0037,0.8769,0.0,eligible
